H2S(WE),H2S(AE),SO2(WE),SO2(AE),CO(WE),CO(AE),VOC(WE),VOC(AE),NH3(WE),NH3(AE),MICS6814(CO),MICS6814(NH3),MICS6814(NO2),SEMEATECH(NH3),SEMEATECH(CH3SH),Class
370.696,322.996,335.262,673.249,794.543,35.434,464.486,45.439,520.022,287.779,2901.762,2791.304,3215.224,458,0,Compostagem
377.51,344.802,366.607,674.612,820.437,34.071,464.486,45.439,520.022,287.779,2904.747,2794.289,3215.224,458,0,Compostagem
373.422,324.359,348.89,669.161,793.18,31.346,464.486,45.439,520.022,287.779,2901.762,2794.289,3215.224,457,0,Compostagem
367.97,328.448,336.625,677.338,829.977,29.983,464.486,45.439,520.022,287.779,2901.762,2794.289,3215.224,457,0,Compostagem
378.873,325.722,333.899,674.612,797.269,31.346,459.437,45.439,520.022,287.779,2901.762,2794.289,3215.224,457,0,Compostagem
378.873,332.536,340.713,685.515,813.623,36.797,464.486,50.488,520.022,287.779,2901.762,2791.304,3215.224,456,0,Compostagem
384.324,335.262,382.962,689.604,823.163,35.434,464.486,45.439,520.022,287.779,2901.762,2791.304,3215.224,456,0,Compostagem
384.324,333.899,380.236,681.426,821.8,39.523,464.486,50.488,520.022,287.779,2901.762,2791.304,3215.224,456,0,Compostagem
382.962,327.085,335.262,673.249,808.172,36.797,464.486,45.439,520.022,287.779,2901.762,2791.304,3215.224,455,0,Compostagem
378.873,329.81,374.785,681.426,828.614,40.886,464.486,45.439,520.022,287.779,2901.762,2794.289,3215.224,455,0,Compostagem
373.422,321.633,374.785,673.249,789.092,32.708,464.486,45.439,520.022,287.779,2901.762,2791.304,3215.224,455,0,Compostagem
